"Qp","De","OH","neum","phirho","Tv","N2","Nuev","Q_VT","Ev","Nuex","Num","E","dEv","qnir","TeeV","Q_VE","En","H2O2","neuc","DTv","O2","eps","Qdot","H2","ones","HO2","DO2p","p","T","phiV","NOp","O","N2p","ql","H2O","Q_PI","Qdot1","Te","In","O2p","Q_TE","H","Q_TENe","tau_VT","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00000e+00,3.48000e-03,9.96083e-08,0.00000e+00,7.00000e+01,3.50000e+02,7.45200e-01,3.17326e+11,0.00000e+00,4.61178e+01,0.00000e+00,0.00000e+00,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,0.00000e+00,2.85000e-02,0.00000e+00,3.98796e-11,4.27344e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,0.00000e+00,0.00000e+00,1.16000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.00000e-04,-2.63465e-07,8.06476e-12,0.00000e+00,1,0.00000e+00,0.00000e+00,1.00000e-02,6.25000e-03
0.00000e+00,3.53400e-03,9.96083e-08,3.70513e+11,7.00000e+01,5.54842e+02,7.45200e-01,3.17326e+11,7.99582e+04,4.61178e+01,0.00000e+00,1.26740e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,1.74609e+04,2.85000e-02,4.50000e-01,3.98796e-11,4.33975e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,7.00803e-10,1.74609e+04,1.17800e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.16467e-04,-4.38116e-07,1.09939e-11,0.00000e+00,1,2.00000e-05,2.00000e-05,1.00000e-02,6.25000e-03
0.00000e+00,3.58800e-03,9.96083e-08,7.41027e+11,7.00000e+01,7.59684e+02,7.45200e-01,3.17326e+11,1.59916e+05,4.61178e+01,0.00000e+00,2.53480e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.49219e+04,2.85000e-02,9.00000e-01,3.98796e-11,4.40606e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.40161e-09,3.49219e+04,1.19600e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.32934e-04,-6.12767e-07,1.39231e-11,0.00000e+00,1,4.00000e-05,4.00000e-05,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-4.23980e-07,9.56464e-12,0.00000e+00,1,6.00000e-05,6.00000e-05,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-1.31354e-07,3.12400e-12,0.00000e+00,1,8.00000e-05,8.00000e-05,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-9.78114e-10,2.07167e-13,0.00000e+00,1,1.00000e-04,1.00000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-4.01786e-10,1.09377e-13,0.00000e+00,1,1.20000e-04,1.20000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-1.49631e-11,3.11543e-14,0.00000e+00,1,1.40000e-04,1.40000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-7.15215e-12,-7.93432e-15,0.00000e+00,1,1.60000e-04,1.60000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-1.94696e-13,-3.61918e-14,0.00000e+00,1,1.80000e-04,1.80000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-6.49539e-14,2.21997e-14,0.00000e+00,1,2.00000e-04,2.00000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,6.47887e-14,8.05913e-14,0.00000e+00,1,2.20000e-04,2.20000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,6.83726e-14,6.73912e-14,0.00000e+00,1,2.40000e-04,2.40000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,5.61868e-14,4.52420e-14,0.00000e+00,1,2.60000e-04,2.60000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,2.26707e-14,2.83709e-14,0.00000e+00,1,2.80000e-04,2.80000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-2.15105e-14,1.41388e-14,0.00000e+00,1,3.00000e-04,3.00000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-4.52301e-14,3.87717e-14,0.00000e+00,1,3.20000e-04,3.20000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-4.33726e-14,1.11986e-13,0.00000e+00,1,3.40000e-04,3.40000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-3.89919e-14,1.61526e-13,0.00000e+00,1,3.60000e-04,3.60000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-2.57800e-14,1.28205e-13,0.00000e+00,1,3.80000e-04,3.80000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-1.25680e-14,9.48849e-14,0.00000e+00,1,4.00000e-04,4.00000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-1.63556e-14,9.11241e-14,0.00000e+00,1,4.20000e-04,4.20000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-2.01433e-14,8.73633e-14,0.00000e+00,1,4.40000e-04,4.40000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-3.01391e-15,3.04622e-14,0.00000e+00,1,4.60000e-04,4.60000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,2.00918e-14,-4.16219e-14,0.00000e+00,1,4.80000e-04,4.80000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,3.49323e-14,-7.18207e-14,0.00000e+00,1,5.00000e-04,5.00000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,4.31608e-14,-6.85112e-14,0.00000e+00,1,5.20000e-04,5.20000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,4.42599e-14,-6.55307e-14,0.00000e+00,1,5.40000e-04,5.40000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,3.10999e-14,-6.32081e-14,0.00000e+00,1,5.60000e-04,5.60000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,1.72368e-14,-6.28757e-14,0.00000e+00,1,5.80000e-04,5.80000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-2.25157e-15,-7.84642e-14,0.00000e+00,1,6.00000e-04,6.00000e-04,1.00000e-02,6.25000e-03
0.00000e+00,3.60000e-03,9.96083e-08,8.23363e+11,7.00000e+01,8.05204e+02,7.45200e-01,3.17326e+11,1.77685e+05,4.61178e+01,0.00000e+00,2.81645e-24,0.00000e+00,4.20391e+01,0.00000e+00,1.00000e+00,0.00000e+00,0.00000e+00,7.10653e-14,0.00000e+00,1.92802e-05,2.26300e-01,0.00000e+00,3.88021e+04,2.85000e-02,1.00000e+00,3.98796e-11,4.42080e+02,1.00000e+05,3.50000e+02,0.00000e+00,1.00000e-07,9.99984e-08,0.00000e+00,0.00000e+00,1.00416e-07,1.55734e-09,3.88021e+04,1.20000e+04,0.00000e+00,0.00000e+00,0.00000e+00,2.21554e-11,0.00000e+00,2.36593e-04,-2.17400e-14,-9.40528e-14,0.00000e+00,1,6.20000e-04,6.20000e-04,1.00000e-02,6.25000e-03
